,headline,company,date
174,"Erdene Commences 18,000 Metre Drill Program at the Khundii Gold District",ERD,N/A
175,Erdene Provides Second Quarter Financial and Bayan Khundii Gold Project Update,ERD,2024-08-08
176,Erdene Closes $20 Million Financing to Advance Exploration and Development of the Khundii Gold District Led by $15 Million Strategic Investment from Eric Sprott,ERD,N/A
177,Erdene Provides Update on Private Placement,ERD,N/A
178,Erdene Announces $20 Million Financing Led by $15 Million Strategic Investment from Eric Sprott,ERD,2020-07-23
179,Erdene Announces Positive Bankable Feasibility Study Results for Bayan Khundii Gold Project,ERD,N/A
180,Erdene Announces Conference Call to Discuss the Bayan Khundii Project Bankable Feasibility Study Results,ERD,N/A
181,"Erdene Confirms Three New Near-Surface, High-Grade Gold Zones at Khundii Gold Project",ERD,N/A
182,Erdene Intersects 5.5 Metres of 126 g/t Gold Including 1 Metre of 582 g/t Gold at New Bayan Khundii Zone and 15 Metres of 26 g/t Gold Including 1 Metre of 338 g/t Gold,ERD,2020-07-07
183,Erdene Announces Results of Annual and Special Meeting of Shareholders,ERD,2022-06-23
184,Erdene Provides Bayan Khundii Gold Project Drilling Update Confirms New Near-Surface Gold Zone East of Midfield Orebody,ERD,N/A
185,Erdene Provides Khundii Gold District Technical Program Update and Details 2020 Exploration Plans,ERD,N/A
186,Erdene Announces Completion of the Environmental and Social Impact Assessment of the Khundii Gold Project,ERD,N/A
187,Erdene Provides Bayan Khundii Gold Project and First Quarter Financial Update,ERD,2024-05-13
188,Erdene Announces 2019 Financial Results and Provides Khundii Gold Project Update,ERD,2020-03-17
189,"Erdene Secures Mining License for Altan Nar Project, Khundii Gold District",ERD,N/A
190,Erdene Intersects 23 metres of 17 g/t Gold at Altan Nar and Expands New Khar Mori Gold Prospect on Khundii License,ERD,2020-02-04
191,"Erdene Commences Bayan Khundii Gold Project Bankable Feasibility Study and Provides Technical, Permitting and Exploration Update",ERD,N/A
192,Erdene Receives Significant Environmental Approval for Bayan Khundii Gold Project and Commences Early Works,ERD,N/A
193,Erdene Intersects 33.5 g/t Gold over 8 metres Near Surface at Dark Horse Mane Discovery,ERD,2021-11-17
194,Erdene Announces Q3 2021 Results and Provides Bayan Khundii Gold Project Update,ERD,N/A
195,"Erdene Continues to Expand New Ulaan Gold Discovery - 77 metres of 3.2 g/t Gold, Including 27 metres of 8.7 g/t Gold and 152 metres of 1.7 g/t, Including 65 metres of 3.1 g/t Gold",ERD,N/A
196,Erdene Closes US$5 Million Mongolian Stock Exchange Offering,ERD,2021-10-12
197,"Erdene Expands New Ulaan Gold Discovery -  53 Metres of 3.5 g/t Gold within 217 Metres of 1.1 g/t Gold, 50 Metres North of Discovery Hole",ERD,N/A
198,Erdene Announces Q2 2021 Financial Results and Provides Bayan Khundii Gold Project Update,ERD,N/A
199,Erdene Reports New Discovery at Ulaan - Intersects 3.77 g/t Gold over 40 Metres within 258 Metres of 0.98 g/t Gold,ERD,N/A
200,Erdene Signs Local Cooperation Agreement with Bayankhongor Provincial Government for Bayan Khundii Gold Project,ERD,N/A
201,Erdene Intersects 5.86 g/t Gold Over 27 Metres and 5.63 g/t Gold Over 30 Metres at Dark Horse Prospect,ERD,N/A
202,Erdene Initiates Strategic Review of Khuvyn Khar Molybdenum-Copper Project,ERD,2021-07-15
203,Erdene Announces Results of Annual Meeting of Shareholders,ERD,2024-06-21
204,Erdene Adds Second Rig and Commences Drilling Ulaan Gold Target Adjacent Bayan Khundii Gold Deposit,ERD,2021-06-17
205,Erdene Provides Update on Dark Horse Gold Prospect  Exploration Program: Commences Follow-Up Drilling,ERD,2021-06-15
206,Erdene Announces Q1 2021 Financial Results and Provides Khundii Gold Project Update,ERD,N/A
207,Erdene Extends Dark Horse Discovery to the South with Near Surface Intersection of 35m of 2.7 g/t Gold Including 12m of 5.1 g/t Gold,ERD,2021-04-22
208,Erdene Provides Updates on Exploration at the Dark Horse Gold Prospect and Bayan Khundii Gold Project,ERD,2021-04-08
209,Erdene Announces 2020 Financial Results and Provides Bayan Khundii Gold Project and Exploration Updates,ERD,N/A
210,Erdene Announces Three Month Extension to Warrants,ERD,N/A
211,Erdene Extends New Dark Horse Gold Discovery with 500 metre Step-Out; Commences Follow-Up Exploration Program,ERD,2021-01-27
212,Erdene Announces New Gold Discovery 3.5 km North of the Bayan Khundii Gold Deposit,ERD,2021-01-06
213,Erdene Completes $7M Private Placement Led by Investment from Eric Sprott,ERD,N/A
214,Erdene Announces Financing to Fund Exploration and Development in the Khundii Gold District,ERD,2022-12-14
215,"Erdene Expands High-Grade Mineralization at Dark Horse Prospect, Generates New Targets",ERD,2022-11-23
216,Erdene Announces Q3 2022 Results and Provides Khundii Gold District Update,ERD,N/A
217,Erdene Intersects High-Grade Gold at Bayan Khundii Starter Pits,ERD,2022-10-25
218,"Erdene Renews Local Cooperation Agreement and Provides Environmental, Social and Governance Update",ERD,N/A
219,Erdene Identifies New Targets in the Khundii Gold District - Exploration Update,ERD,2022-09-07
220,Erdene Announces Q2 2022 Results And Provides Khundii Gold District Update,ERD,N/A
221,"Erdene Continues to Outline Ulaan Feeder Zone, Intersects 27 Metres of 3.5 g/t Gold, Including 2 Metres of 24.9 g/t Gold",ERD,2022-07-26
222,Erdene Completes $7.2M Private Placement Led by Investment from Eric Sprott,ERD,2022-07-21
223,Erdene Releases 2022 Shareholder Letter,ERD,N/A
224,Erdene Announces Financing to Fund Exploration and Pre-Construction in the Khundii Gold District,ERD,N/A
225,Erdene Announces Results of Annual and Special Meeting of Shareholders,ERD,2022-06-23
226,Erdene Returns 68.2 g/t Gold Over 3 metres Within 8.1 g/t Gold Over 41 meters at Ulaan Southeast Gold Prospect,ERD,N/A
227,Erdene Announces Q1 - 2022 Results and Provides Khundii Gold District Update,ERD,N/A
228,Erdene Announces the Passing of Chris Cowan,ERD,2022-05-03
229,Erdene Provides Khundii Gold District Exploration Update Commences 2022 Drill Program,ERD,N/A
230,Erdene Announces 2021 Results and Provides Khundii Gold District Update,ERD,N/A
231,Erdene Intercepts 123.5 g/t Gold Over 5 Metres Within 15 Metres of 42.8 g/t Gold At Dark Horse Gold Prospect,ERD,N/A
232,Erdene Extends Ulaan Gold Discovery and Plans 2022 Exploration Program,ERD,N/A
233,Erdene Receives Tax Stabilization Certificate for Bayan Khundii Gold Project,ERD,N/A
234,Erdene Announces Q3 2023 Results and Provides Bayan Khundii Project Update,ERD,2023-11-09
235,Erdene provides update on Strategic Alliance with Mongolian Mining Corporation,ERD,N/A
236,Erdene files Updated Feasibility Study for the Bayan Khundii Gold Project,ERD,2023-09-26
237,Erdene Provides Update on the Bayan Khundii Gold Project,ERD,2024-10-16
238,Erdene Announces Positive Updated Feasibility Study for the Bayan Khundii Gold Project,ERD,2023-08-15
239,Erdene Announces Q2 2023 Results and Provides Khundii Minerals District Update,ERD,N/A
240,Erdene Reports Bayan Khundii Gold Project Exploration Results from Dark Horse Prospect,ERD,2023-07-31
241,Erdene Expands Mineralization at Zuun Mod Molybdenum-Copper Project in Khundii District,ERD,2023-07-06
242,Erdene Announces Results of Annual and Special Meeting of Shareholders and Appointment of Mongolian Executives,ERD,2023-06-23
243,Erdene Releases 2023 Shareholder Letter,ERD,2023-06-22
244,Erdene Commences Drilling at Dark Horse Gold Prospect,ERD,2023-06-08
245,Erdene Closes Second Stage of Strategic Alliance with Mongolian Mining Corporation and Reports Q1 2023 Results,ERD,N/A
246,Erdene Commences Drilling at the Zuun Mod Molybdenum-Copper Porphyry Project,ERD,2023-04-12
247,Erdene Announces 2022 Results and Provides Khundii Minerals District Update,ERD,2023-03-13
248,Erdene Announces Strategic Alliance with Mongolian Mining Corporation,ERD,N/A
249,"Liberty Gold Completes 2021 Resource Upgrade Drilling in the Discovery Zone, Black Pine, Idaho",LGD,N/A
250,"Liberty Gold Intersects High Grade Oxide Gold at the Back Range Zone, Confirming the 7 km Northwest Extent of the Black Pine Gold System",LGD,2025-02-06
251,"Liberty Gold Drills Near-Surface Oxide Gold in the Main Zone, Goldstrike Deposit, Utah",LGD,2021-11-18
252,"Liberty Gold Confirms Major Gold Discovery at Rangefront, Black Pine Oxide Gold Deposit, Idaho",LGD,2021-11-16
253,Liberty Gold Receives Second Year Option Payments for Kinsley Gold Project – Nevada,LGD,N/A
254,Liberty Gold Reports Q3 2021 Financial and Operating Results,LGD,N/A
255,"Liberty Gold Reports Weighted Average 80.8% Gold Extraction in Phase 3 Metallurgical Column Testing - Black Pine Oxide Gold Deposit, Idaho",LGD,N/A
256,"Liberty Gold Reports Resource Upgrade Drill Results from the Main Zone - Hamburg Pit, Goldstrike Oxide Gold Deposit, Utah",LGD,N/A
257,"Liberty Gold Drilling Extends the Discovery Zone in Two Directions, Two Rigs Now Targeting Rangefront D-4 Discovery - Black Pine Oxide Gold Deposit, Idaho",LGD,N/A
258,"Liberty Gold Announces First 2021 Drill Results for the Goldstrike Oxide Gold Deposit, Utah - Great Basin, USA",LGD,N/A
259,"Liberty Gold Announces D-4 Discovery at Rangefront, Black Pine Oxide Gold Deposit, Idaho",LGD,N/A
260,"Liberty Gold Files Technical Report on SEDAR for Resource Estimate at Black Pine Oxide Gold Deposit, Great Basin, USA",LGD,N/A
261,Liberty Gold Receives US$6 million Payment for the Sale of Halilağa - Türkiye,LGD,N/A
262,"Liberty Gold Announces First Resource Estimate for the Black Pine Oxide Gold Deposit, Idaho 1,715,000 Indicated and 370,000 Inferred Gold Ounces",LGD,N/A
263,Liberty Gold Appoints Jon Gilligan as Chief Operating Officer,LGD,N/A
264,Liberty Gold Reports Voting Results from Annual General Meeting,LGD,N/A
265,"Liberty Gold Files Technical Report on SEDAR for Resource Estimate at TV Tower, Western Türkiye",LGD,N/A
266,"Liberty Gold Appoints Vice President, Business Development",LGD,2021-05-17
267,Liberty Gold Reports Q1 2021 Financial And Operating Results,LGD,N/A
268,"Liberty Gold Announces Final 2020 Results from Metallurgical Core Drilling at Black Pine, Idaho: 0.77 g/t Au over 10.8 m and 1.23 g/t Au over 24.1 m and 0.75 g/t over 21.5 m in LBP231C",LGD,N/A
269,"Liberty Gold Announces Maiden Resource Estimates for Five Gold and Copper Deposits at the TV Tower Project, Türkiye",LGD,2021-04-06
270,Liberty Gold Reports Q4 2020 Financial and Operating Results,LGD,N/A
271,"Liberty Gold Announces Final Results from Reverse Circulation Drilling at Black Pine, Idaho: 4.34 g/t Oxide Gold over 22.9 m including 10.8 g/t Au over 6.1 m in LBP258; 1.14 g/t Oxide Gold over 44.2 m in LBP259",LGD,N/A
272,"Liberty Gold Announces Approval of Plan of Operations Amendment, Black Pine Project, Great Basin, USA",LGD,N/A
273,"Liberty Gold Announces All Common Share Purchase Warrants Issued as Part of the January 26, 2018 Private Placement Have Been Exercised",LGD,N/A
274,"Liberty Gold Announces Results from Metallurgical Core Drilling at Black Pine, Idaho -   3.32 g/t Au over 47.4 m Including 12.5 g/t over 5.8 m in LBP214C",LGD,2021-01-12
275,"Liberty Gold Completes the 2022 Drilling Season with Positive Results and Further De-risking Activities at the Black Pine Oxide Gold Deposit, Idaho",LGD,2022-12-13
276,"Liberty Gold Reports Completion of the 2022 Exploration Program and Results from Metallurgical Core and Resource Drilling, Goldstrike Oxide Gold Deposit, Utah  0.87 g/t Au over 74.3 m, including 1.51 g/t Au over 12.3 m in PGS863C  1.75 g/t Au over 24.4 m.",LGD,N/A
277,"Liberty Gold Purchases Historic Black Pine Mine Water Rights, Securing an Additional Water Supply and Further De-Risking its Black Pine Oxide Gold Deposit, Idaho",LGD,N/A
278,"Liberty Gold Appoints Darin Smith as Senior Vice President, Corporate Development",LGD,N/A
279,"Liberty Gold Extends Oxide Gold Mineralization in Three Locations at Black Pine Deposit, Idaho",LGD,2022-11-15
280,Liberty Gold Reports Q3 2022 Financial and Operating Results,LGD,N/A
281,"Liberty Gold Reports Results From Near-Surface Resource Expansion Drilling, Black Pine Deposit, Idaho",LGD,N/A
282,Liberty Gold Appoints Jason Attew as New President and CEO,LGD,N/A
283,"Liberty Gold Announces new BLM Plan of Operations, USFS Notice of Intent and the Purchase of Private Mineral Rights at its Black Pine Oxide Gold Project, Idaho",LGD,N/A
284,Liberty Gold Releases Inaugural ESG Report,LGD,N/A
285,"Liberty Gold Discovers Near-Surface Oxide Gold Confirming 750 Metre-Long Corridor Linking the CD and Discovery Zones at Black Pine Project, Idaho",LGD,N/A
286,"Liberty Gold Receives Final US$6 Million Payment for the Sale of Halilağa  Copper-Gold Deposit, Türkiye",LGD,N/A
287,Liberty Gold Reports Q2 2022 Financial and Operating Results,LGD,N/A
288,"Liberty Gold Reports Excellent Results from Sonic Drilling in the Historic Heap Leach Pad, Goldstrike Oxide Gold Deposit, Utah",LGD,2022-08-09
289,"Liberty Gold Announces Results of Metallurgical Core Drilling at its Black Pine Oxide Gold Project, Idaho",LGD,N/A
290,"Liberty Gold Receives 2022 Environmental Excellence Award from the State of Utah, Department of Natural Resources",LGD,N/A
291,Liberty Gold Reports Voting Results from Annual General Meeting,LGD,N/A
292,"Liberty Gold Extends Mineralization to the North and Northeast and Drills High-Grade Core Hole at Rangefront Focus Area, Black Pine, Idaho",LGD,N/A
293,Liberty Gold Receives Final US$2.5M Option Payments for Kinsley US$1.25M in Cash and US$1.25M in CopAur Shares,LGD,2022-05-18
294,Liberty Gold Reports Q1 2022 Financial and Operating Results,LGD,N/A
295,"Liberty Gold Expands Near-Surface Mineralization in M Zone and Completes 2021 Resource Upgrade and Step-Out Drilling at Discovery Zone, Black Pine",LGD,N/A
296,"Liberty Gold Extends Shallow High-Grade Oxide Gold Mineralization at Rangefront Focus Area, Black Pine",LGD,N/A
297,"Liberty Gold Reports Year-End 2021 Financial and Operating Results and Announces 110,000 metre Drill Program for 2022",LGD,N/A
298,Liberty Gold Closes C$30 million Bought Deal Financing,LGD,N/A
299,Liberty Gold Announces C$30 million Bought Deal,LGD,N/A
300,"Liberty Gold Expands High-Grade Gold Mineralization at Rangefront Focus Area, Black Pine Oxide Gold Deposit",LGD,N/A
301,"Liberty Gold Reports Final Drill Results From 2021 Program, Commences 2022 Program at the Goldstrike Oxide Gold Deposit, Utah",LGD,N/A
302,"Liberty Gold Secures Process Water Supply and Strategic Mineral Rights, Black Pine Oxide Gold Deposit, Idaho",LGD,N/A
303,"Liberty Gold Defines High-Grade Mineralized Core at Rangefront Focus Area, Black Pine Oxide Gold Deposit",LGD,N/A
304,"Liberty Gold Confirms High-Grade Continuity Across the Main Zone, Goldstrike Oxide Gold Deposit, Utah",LGD,N/A
305,Liberty Gold Reports Q3 2023 Financial and Operating Results,LGD,N/A
306,Liberty Gold Announces Leadership Transition,LGD,2023-11-08
307,"Liberty Gold Reports Additional Drill Results at the Black Pine Oxide Gold Project, Idaho",LGD,N/A
308,Liberty Gold Announces Closing of Royalty Transactions and  US$5.7 Million Private Placement and Welcomes Wheaton  Precious Metals as a Strategic Shareholder,LGD,N/A
309,Liberty Gold Announces Purchase and Resale of Black Pine Royalty Interest and US$5.7 Million Private Placement Financing with Strategic Investment from Wheaton Precious Metal,LGD,N/A
310,"Liberty Gold Reports Additional Drill Results from the Rangefront Zone, Black Pine Oxide Gold Project, Idaho",LGD,2023-09-07
311,Liberty Gold Advances Black Pine Oxide Gold Project with the Submission of a Mining Pre-Plan of Operations to US Federal Agencies and the Selection of a Lead Engineer for the Pre-Feasibility Study,LGD,2023-09-05
312,Liberty Gold Publishes Second Annual ESG Report: Developing Gold Deposits in a Responsible and Sustainable Manner,LGD,N/A
313,Liberty Gold Reports Additional Drill Results from the Black Pine Oxide Gold Project,LGD,N/A
314,Liberty Gold Reports Q2 2023 Financial and Operating Results,LGD,N/A
315,"Liberty Gold Reports Additional High-Grade Drill Results, Including a New Discovery at its Black Pine Oxide Gold Project, Idaho",LGD,N/A
316,"Liberty Gold Reports Additional High-Grade Drill Results from the Black Pine Oxide Gold Project, Idaho",LGD,N/A
317,Liberty Gold Reports Voting Results from Annual General Meeting and Changes to the Board of Directors,LGD,N/A
318,"Liberty Gold Reports on Progress at the Goldstrike Oxide Gold Project, Utah",LGD,2023-06-01
319,Liberty Gold Reports Q1 2023 Financial and Operating Results,LGD,N/A
320,"Liberty Gold Reports Additional Results at M Zone and Rangefront Zone at the Black Pine Oxide Gold Deposit, Idaho",LGD,2023-04-19
321,"Liberty Gold announces Founder and Independent Board Chair, Dr. Mark O’Dea, to retire at 2023 AGM",LGD,2023-04-17
322,Liberty Gold Reports Year-End 2022,LGD,2023-03-28
323,"Liberty Gold Reports Weighted Average 86.9% Gold Extraction from Metallurgical Column Leach Testing on Rangefront Zone Oxide Gold Mineralization, Black Pine Project, Idaho",LGD,N/A
324,"Liberty Gold Files Technical Report on SEDAR for Updated Resource Estimate at Black Pine Oxide Gold Deposit, Great Basin, USA",LGD,N/A
325,"Liberty Gold Reports Impressive High-Grade Results from M and Back Range Zones including the Highest Grade Intercept Drilled to Date at the Black Pine Oxide Gold Deposit, Idaho",LGD,N/A
326,"Liberty Gold Reports High-Grade from Rangefront Zone, Black Pine Oxide Gold Deposit, Idaho",LGD,N/A
327,"Liberty Gold Announces Updated Resource Estimate for the Black Pine Oxide Gold Deposit, Idaho",LGD,2024-02-15
328,Liberty Gold Provides Corporate Update,LGD,N/A
329,"Liberty Gold Announces Initial Assay Results from Rangefront Step-out Exploration Drilling at Black Pine Oxide Gold Project, Idaho",LGD,N/A
330,Liberty Gold Files Technical Report for the Preliminary Feasibility Study at Black Pine Oxide Gold Deposit in Idaho,LGD,N/A
331,"Liberty Gold Announces Results from Field Sampling at the Antimony Ridge Discovery, Goldstrike Oxide Gold Project, Southwest Utah",LGD,2024-11-18
332,Liberty Gold Reports Q3 2024 Financial and Operating Results,LGD,N/A
333,"Liberty Gold Announces Advancement of the Mine Permitting Process for the Black Pine Oxide Gold Project, Idaho",LGD,2024-11-04
334,Liberty Gold Publishes 2023 ESG Report Disclosure Update,LGD,N/A
335,"Liberty Gold Announces Preliminary Feasibility Study Results for the Black Pine Oxide Gold Project in Idaho, with a 17-year Mine Life and a 32% After-Tax Internal Rate of Return",LGD,2024-10-10
336,Liberty Gold Closes TV Tower Sale Transaction,LGD,N/A
337,"Liberty Gold Receives Hardrock Prospector Permit at Black Pine Oxide Gold Project, Idaho",LGD,2024-09-25
338,"Liberty Gold Identifies an Outcropping High-Grade Antimony System at the Antimony Ridge Prospect, Goldstrike Oxide Gold Project, Southwest Utah",LGD,2024-09-05
339,Liberty Gold Provides Update on TV Tower Transaction,LGD,N/A
340,Liberty Gold Reports Q2 2024 Financial and Operating Results,LGD,N/A
341,"Liberty Gold Announces 20,000 Metre, Phase 1 Drill Program at Black Pine Oxide Gold Project, Idaho",LGD,2024-07-17
342,"Liberty Gold Holds Mine Permitting Initiation Meeting for the Black Pine Oxide Gold Project, Idaho",LGD,N/A
343,Liberty Gold Reports Voting Results from Annual General Meeting,LGD,N/A
344,"Liberty Gold Announces Approval of the Fourth Plan of Operations Amendment, Black Pine Oxide Gold Project, Idaho",LGD,N/A
345,Liberty Gold Announces Closing of C$12.5 Million Non-Brokered Private Placement Financing,LGD,N/A
346,Liberty Gold Reports Q1 2024 Financial and Operating Results,LGD,N/A
347,Liberty Gold Upsizes Non-Brokered Private Placement Financing to C$12.5 Million,LGD,2024-04-30
348,Liberty Gold Announces C$9.5 Million Non-Brokered Private Placement Financing,LGD,N/A
349,Liberty Gold Announces Signing of Definitive Agreement to Sell the TV Tower Project in Türkiye  Transaction Values the Project at US$11.5 Million on a 100% Basis,LGD,2016-01-06
350,Liberty Gold Reports Year-End 2023 Financial and Operating Results,LGD,N/A
351,"Liberty Gold Reports Phase 4 Metallurgical Column Leach Results and Final Phase 5 Metallurgical Drill Assays at its Black Pine Oxide Gold Project, Idaho",LGD,2024-03-14
352,"Liberty Gold Announces Updated Mineral Resource Estimate for  the Black Pine Oxide Gold Deposit, Idaho",LGD,2024-02-15
353,"Liberty Gold Reports Additional Core Drill Results from the Discovery Zone at the Black Pine Oxide Gold Project, Idaho",LGD,N/A
354,"Liberty Gold Reports Core Drill Results at the Back Range Zone, Black Pine Oxide Gold Project, Idaho",LGD,N/A
